,,Most Common Lane,Champion Name,Low Mastery Win Rate,Medium Mastery Win Rate,Low Mastery Ratio,,,
,,Support,Pyke,42.28%,48.80%,0.87,,,
,,Middle,Twisted Fate,42.41%,48.96%,0.87,,,
,,Jungle,Poppy,44.42%,51.30%,0.87,,,
,,Support,Thresh,43.27%,49.99%,0.87,,,
,,Middle,Annie,46.54%,53.81%,0.86,,,
,,Middle,Ziggs,46.04%,53.25%,0.86,,,
,,Middle,Katarina,40.56%,46.93%,0.86,,,
,,Top,Kled,45.82%,53.03%,0.86,,,
,,Top,Shen,44.48%,51.49%,0.86,,,
,,Jungle,Kayn,43.26%,50.10%,0.86,,,
,,Middle,Talon,42.71%,49.58%,0.86,,,
,,Jungle,Viego,43.44%,50.46%,0.86,,,
,,Top,Kayle,45.29%,52.64%,0.86,,,
,,Middle,Zoe,41.69%,48.45%,0.86,,,
,,Support,Milio,47.07%,54.75%,0.86,,,
,,Jungle,Zac,45.14%,52.51%,0.86,,,
,,Support,Taric,44.89%,52.26%,0.86,,,
,,Middle,Azir,39.77%,46.29%,0.86,,,
,,Top,Quinn,43.46%,50.61%,0.86,,,
,,Support,Rell,45.83%,53.39%,0.86,,,
,,Jungle,Nidalee,41.83%,48.74%,0.86,,,
,,ADC,Zeri,43.86%,51.26%,0.86,,,
,,Top,Urgot,44.03%,51.50%,0.85,,,
,,Top,Yorick,45.43%,53.27%,0.85,,,
,,Top,Tahm Kench,44.00%,51.61%,0.85,,,
,,Jungle,Rammus,46.50%,54.76%,0.85,,,
,,Jungle,Kindred,42.37%,49.95%,0.85,,,
,,Jungle,Lillia,44.57%,52.57%,0.85,,,
,,Jungle,Shyvana,44.32%,52.32%,0.85,,,
,,Top,Illaoi,44.60%,52.66%,0.85,,,
,,Top,Gwen,43.34%,51.18%,0.85,,,
,,Jungle,Shaco,41.42%,49.20%,0.84,,,
,,Jungle,Evelynn,42.36%,50.49%,0.84,,,
,,Jungle,Warwick,42.84%,51.08%,0.84,,,
,,Middle,Anivia,43.97%,52.45%,0.84,,,
,,Jungle,Hecarim,42.86%,51.33%,0.84,,,
,,Jungle,Rengar,40.54%,48.56%,0.83,,,
,,Middle,Vladimir,42.92%,51.54%,0.83,,,
,,Top,Aatrox,40.16%,48.37%,0.83,,,
,,Jungle,Skarner,44.53%,53.73%,0.83,,,
,,Jungle,Rek'Sai,41.99%,50.67%,0.83,,,
,,Middle,Aurelion Sol,45.70%,55.30%,0.83,,,
,,Middle,Akshan,43.44%,52.73%,0.82,,,
,,Top,Singed,44.57%,54.13%,0.82,,,
,,Top,Riven,40.21%,48.90%,0.82,,,
,,Jungle,Bel'Veth,43.81%,53.51%,0.82,,,
,,Middle,Qiyana,38.94%,47.70%,0.82,,,
,,Jungle,Fiddlesticks,42.59%,52.53%,0.81,,,
,,Jungle,Udyr,41.78%,51.70%,0.81,,,
,,Support,Yuumi,39.22%,49.29%,0.80,,,
,,Top,K'Sante,39.57%,50.81%,0.78,,,
,,Jungle,Ivern,37.51%,49.86%,0.75,,,
,,Jungle,Nunu & Willump,37.36%,50.23%,0.74,,,
