,,Most Common Lane,Champion Name,Medium Mastery Win Rate,High Mastery Win Rate,High Mastery Ratio,,,
,,Middle,Malzahar,52.29%,53.21%,1.02,,,
,,Top,Illaoi,52.66%,53.57%,1.02,,,
,,Support,Swain,51.93%,52.83%,1.02,,,
,,Top,Kayle,52.64%,53.54%,1.02,,,
,,Top,Garen,50.50%,51.35%,1.02,,,
,,Jungle,Xin Zhao,51.22%,52.06%,1.02,,,
,,ADC,Zeri,51.26%,52.08%,1.02,,,
,,Jungle,Skarner,53.73%,54.56%,1.02,,,
,,Top,Renekton,48.52%,49.24%,1.01,,,
,,Top,Ornn,52.10%,52.87%,1.01,,,
,,Support,Seraphine,50.83%,51.55%,1.01,,,
,,Middle,Ahri,51.29%,51.97%,1.01,,,
,,ADC,Jinx,51.82%,52.47%,1.01,,,
,,Top,Shen,51.49%,52.11%,1.01,,,
,,ADC,Miss Fortune,51.04%,51.66%,1.01,,,
,,Support,Lulu,48.66%,49.22%,1.01,,,
,,Support,Leona,50.75%,51.33%,1.01,,,
,,Top,Quinn,50.61%,51.17%,1.01,,,
,,Middle,Vex,52.48%,52.95%,1.01,,,
,,Top,Tahm Kench,51.61%,52.06%,1.01,,,
,,Top,Olaf,52.22%,52.67%,1.01,,,
,,ADC,Lucian,48.99%,49.38%,1.01,,,
,,Middle,Neeko,50.76%,51.16%,1.01,,,
,,Middle,Annie,53.81%,54.12%,1.01,,,
,,Support,Zilean,52.02%,52.29%,1.01,,,
,,ADC,Ashe,50.10%,50.32%,1.00,,,
,,Support,Morgana,50.22%,50.42%,1.00,,,
,,Jungle,Amumu,52.70%,52.92%,1.00,,,
,,Jungle,Sejuani,51.77%,51.96%,1.00,,,
,,Top,Cho'Gath,52.56%,52.73%,1.00,,,
,,Jungle,Wukong,51.62%,51.75%,1.00,,,
,,Top,Sion,53.49%,53.60%,1.00,,,
,,Jungle,Rammus,54.76%,54.85%,1.00,,,
,,Support,Janna,50.53%,50.58%,1.00,,,
,,Support,Brand,52.04%,52.02%,1.00,,,
,,Support,Maokai,52.85%,52.78%,1.00,,,
,,Jungle,Jarvan IV,54.34%,54.25%,1.00,,,
,,Support,Braum,51.48%,51.32%,1.00,,,
,,Middle,Aurelion Sol,55.30%,55.07%,1.00,,,
,,ADC,Sivir,51.57%,51.36%,1.00,,,
,,Jungle,Trundle,51.91%,51.69%,1.00,,,
,,Support,Heimerdinger,52.63%,52.39%,1.00,,,
,,ADC,Kog'Maw,52.05%,51.61%,0.99,,,
,,Support,Nami,49.75%,49.28%,0.99,,,
,,Jungle,Shyvana,52.32%,51.78%,0.99,,,
,,Top,Yorick,53.27%,52.66%,0.99,,,
,,Middle,Veigar,53.24%,52.62%,0.99,,,
,,Support,Zyra,52.98%,52.34%,0.99,,,
,,Jungle,Nocturne,53.86%,53.04%,0.98,,,
,,Top,Singed,54.13%,53.09%,0.98,,,
,,Top,Malphite,53.34%,51.98%,0.97,,,
,,Support,Sona,53.13%,51.67%,0.97,,,
,,Top,Dr. Mundo,55.29%,53.56%,0.97,,,
,,Middle,Ziggs,53.25%,51.56%,0.97,,,
